0 Intro,1 Verse,2 Chorus,3 Instrumental,4 Bridge,5 End,,,
0.14,0.04,0.00,0.45,0.08,0.30,0.00,2.20,3.00
0.14,0.04,0.00,0.43,0.08,0.31,0.00,2.22,3.00
0.14,0.04,0.00,0.42,0.08,0.30,0.00,2.25,3.00
0.14,0.05,0.00,0.42,0.09,0.30,0.00,2.27,3.00
0.14,0.05,0.00,0.42,0.09,0.29,0.00,2.30,3.00
0.14,0.05,0.00,0.42,0.09,0.29,0.00,2.32,3.00
0.15,0.06,0.00,0.41,0.09,0.29,0.00,2.35,3.00
0.15,0.06,0.00,0.41,0.10,0.29,0.00,2.37,3.00
0.15,0.06,0.00,0.40,0.10,0.29,0.00,2.40,3.00
0.15,0.06,0.00,0.40,0.10,0.29,0.00,2.42,3.00
0.16,0.06,0.00,0.39,0.10,0.29,0.00,2.45,3.00
0.16,0.06,0.00,0.38,0.10,0.29,0.00,2.47,3.00
0.16,0.06,0.00,0.37,0.10,0.30,0.00,2.50,3.00
0.17,0.06,0.00,0.36,0.10,0.30,0.00,2.52,3.00
0.17,0.07,0.00,0.36,0.10,0.30,0.00,2.55,3.00
0.17,0.07,0.00,0.36,0.10,0.30,0.00,2.57,3.00
0.17,0.06,0.00,0.36,0.10,0.30,0.00,2.60,3.00
0.17,0.06,0.00,0.36,0.10,0.30,0.00,2.62,3.00
0.17,0.06,0.00,0.36,0.10,0.30,0.00,2.65,3.00
0.17,0.06,0.00,0.36,0.10,0.30,0.00,2.67,3.00
0.17,0.06,0.00,0.36,0.10,0.30,0.00,2.70,3.00
0.17,0.06,0.00,0.36,0.10,0.30,0.00,2.72,3.00
0.17,0.06,0.00,0.36,0.10,0.30,0.00,2.75,3.00
0.17,0.06,0.00,0.37,0.10,0.30,0.00,2.77,3.00
0.17,0.06,0.00,0.37,0.10,0.30,0.00,2.80,3.00
0.17,0.06,0.00,0.38,0.10,0.29,0.00,2.82,3.00
0.16,0.06,0.00,0.39,0.10,0.29,0.00,2.85,3.00
0.16,0.05,0.00,0.39,0.09,0.30,0.00,2.87,3.00
0.16,0.05,0.00,0.39,0.09,0.30,0.00,2.90,3.00
0.16,0.05,0.00,0.39,0.09,0.31,0.00,2.92,3.00
0.16,0.05,0.00,0.38,0.09,0.31,0.00,2.95,3.00
0.16,0.05,0.00,0.38,0.09,0.31,0.00,2.97,3.00
0.16,0.05,0.00,0.39,0.09,0.31,0.00,3.00,3.00
0.15,0.05,0.00,0.40,0.09,0.30,0.00,3.02,3.00
0.15,0.05,0.00,0.41,0.09,0.30,0.00,3.05,3.00
0.15,0.05,0.00,0.41,0.09,0.30,0.00,3.07,3.00
0.15,0.05,0.00,0.41,0.09,0.30,0.00,3.10,3.00
0.15,0.05,0.00,0.41,0.09,0.30,0.00,3.12,3.00
0.15,0.05,0.00,0.41,0.09,0.31,0.00,3.15,3.00
0.15,0.05,0.00,0.40,0.09,0.31,0.00,3.17,3.00
0.15,0.05,0.00,0.40,0.09,0.31,0.00,3.20,3.00
0.15,0.05,0.00,0.40,0.09,0.31,0.00,3.22,3.00
0.15,0.05,0.00,0.41,0.09,0.31,0.00,3.25,3.00
0.15,0.05,0.00,0.41,0.09,0.30,0.00,3.27,3.00
0.15,0.05,0.00,0.41,0.09,0.30,0.00,3.30,3.00
0.14,0.05,0.00,0.42,0.09,0.30,0.00,3.32,3.00
0.14,0.05,0.00,0.42,0.09,0.30,0.00,3.35,3.00
0.14,0.05,0.00,0.42,0.08,0.31,0.00,3.37,3.00
0.14,0.04,0.00,0.42,0.08,0.31,0.00,3.40,3.00
0.14,0.04,0.00,0.42,0.08,0.31,0.00,3.42,3.00
0.14,0.04,0.00,0.42,0.08,0.31,0.00,3.45,3.00
0.14,0.04,0.00,0.43,0.08,0.30,0.00,3.47,3.00
0.14,0.04,0.00,0.43,0.08,0.30,0.00,3.50,3.00
0.14,0.04,0.00,0.44,0.08,0.30,0.00,3.52,3.00
0.14,0.04,0.00,0.44,0.08,0.30,0.00,3.55,3.00
0.13,0.04,0.00,0.44,0.08,0.30,0.00,3.57,3.00
0.13,0.04,0.00,0.44,0.08,0.30,0.00,3.60,3.00
0.13,0.04,0.00,0.44,0.08,0.30,0.00,3.62,3.00
0.13,0.04,0.00,0.44,0.08,0.30,0.00,3.65,3.00
0.13,0.04,0.00,0.45,0.08,0.30,0.00,3.67,3.00
0.13,0.04,0.00,0.45,0.08,0.30,0.00,3.70,3.00
0.13,0.04,0.00,0.45,0.08,0.30,0.00,3.72,3.00
0.13,0.04,0.00,0.45,0.08,0.30,0.00,3.75,3.00
0.13,0.05,0.00,0.45,0.08,0.29,0.00,3.77,3.00
0.12,0.05,0.00,0.45,0.08,0.29,0.00,3.80,3.00
0.12,0.05,0.00,0.45,0.08,0.29,0.00,3.82,3.00
0.12,0.05,0.00,0.45,0.08,0.29,0.00,3.85,3.00
0.13,0.05,0.00,0.45,0.08,0.30,0.00,3.87,3.00
0.13,0.05,0.00,0.44,0.08,0.30,0.00,3.90,3.00
0.13,0.05,0.00,0.44,0.08,0.30,0.00,3.92,3.00
0.13,0.05,0.00,0.44,0.09,0.29,0.00,3.95,3.00
0.13,0.06,0.00,0.44,0.09,0.29,0.00,3.97,3.00
0.13,0.06,0.00,0.44,0.09,0.28,0.00,4.00,3.00
