0 Intro,1 Verse,2 Chorus,3 Instrumental,4 Bridge,5 End,,,
0.15809,0.18641,0.17447,0.15540,0.19351,0.13213,0.00000,1.77327,4.00000
0.15845,0.18577,0.17566,0.15476,0.19301,0.13236,0.00000,1.79824,4.00000
0.15871,0.18515,0.17651,0.15425,0.19338,0.13201,0.00000,1.82322,4.00000
0.15910,0.18423,0.17744,0.15380,0.19418,0.13125,0.00000,1.84820,4.00000
0.15958,0.18322,0.17834,0.15335,0.19491,0.13060,0.00000,1.87317,4.00000
0.16024,0.18234,0.17929,0.15289,0.19485,0.13038,0.00000,1.89815,4.00000
0.16094,0.18133,0.18050,0.15228,0.19483,0.13011,0.00000,1.92312,4.00000
0.16138,0.17965,0.18280,0.15158,0.19481,0.12977,0.00000,1.94810,4.00000
0.16148,0.17706,0.18602,0.15140,0.19460,0.12944,0.00000,1.97307,4.00000
0.16116,0.17399,0.18989,0.15152,0.19443,0.12901,0.00000,1.99805,4.00000
0.16049,0.17061,0.19365,0.15187,0.19483,0.12856,0.00000,2.02302,4.00000
0.15969,0.16670,0.19723,0.15219,0.19575,0.12844,0.00000,2.04800,2.00000
0.15902,0.16329,0.19962,0.15242,0.19735,0.12830,0.00000,2.07298,2.00000
0.15832,0.16093,0.20091,0.15238,0.19916,0.12830,0.00000,2.09795,2.00000
0.15772,0.16031,0.20097,0.15196,0.20054,0.12849,0.00000,2.12293,2.00000
0.15737,0.16044,0.20072,0.15135,0.20131,0.12881,0.00000,2.14790,4.00000
0.15749,0.16030,0.20089,0.15121,0.20097,0.12915,0.00000,2.17288,4.00000
0.15798,0.16079,0.20005,0.15157,0.20029,0.12932,0.00000,2.19785,4.00000
0.15848,0.16249,0.19717,0.15180,0.20058,0.12948,0.00000,2.22283,4.00000
0.15936,0.16519,0.19290,0.15174,0.20132,0.12949,0.00000,2.24780,4.00000
0.16081,0.16877,0.18745,0.15163,0.20214,0.12920,0.00000,2.27278,4.00000
0.16224,0.17294,0.18203,0.15171,0.20222,0.12886,0.00000,2.29776,4.00000
0.16296,0.17665,0.17754,0.15208,0.20159,0.12916,0.00000,2.32273,4.00000
0.16227,0.17939,0.17458,0.15268,0.20083,0.13025,0.00000,2.34771,4.00000
0.16099,0.18127,0.17317,0.15328,0.20028,0.13101,0.00000,2.37268,4.00000
0.15965,0.18283,0.17256,0.15329,0.20041,0.13126,0.00000,2.39766,4.00000
0.15855,0.18406,0.17191,0.15328,0.20106,0.13113,0.00000,2.42263,4.00000
0.15833,0.18412,0.17094,0.15289,0.20248,0.13124,0.00000,2.44761,4.00000
0.15927,0.18327,0.16941,0.15194,0.20443,0.13167,0.00000,2.47259,4.00000
0.16064,0.18290,0.16721,0.15066,0.20628,0.13232,0.00000,2.49756,4.00000
0.16142,0.18311,0.16551,0.14966,0.20759,0.13272,0.00000,2.52254,4.00000
0.16196,0.18378,0.16500,0.14913,0.20756,0.13256,0.00000,2.54751,4.00000
0.16214,0.18406,0.16598,0.14910,0.20675,0.13197,0.00000,2.57249,4.00000
0.16135,0.18386,0.16843,0.14949,0.20598,0.13089,0.00000,2.59746,4.00000
0.16049,0.18257,0.17204,0.15004,0.20500,0.12985,0.00000,2.62244,4.00000
0.16004,0.18115,0.17481,0.15111,0.20418,0.12870,0.00000,2.64741,4.00000
0.16013,0.18052,0.17605,0.15237,0.20327,0.12767,0.00000,2.67239,4.00000
0.15988,0.18093,0.17574,0.15327,0.20264,0.12754,0.00000,2.69737,4.00000
0.15952,0.18194,0.17433,0.15320,0.20330,0.12771,0.00000,2.72234,4.00000
0.15885,0.18365,0.17292,0.15203,0.20430,0.12825,0.00000,2.74732,4.00000
0.15830,0.18592,0.17234,0.15023,0.20435,0.12886,0.00000,2.77229,4.00000
0.15828,0.18795,0.17254,0.14867,0.20309,0.12947,0.00000,2.79727,4.00000
0.15844,0.18840,0.17277,0.14819,0.20221,0.12998,0.00000,2.82224,4.00000
0.15828,0.18798,0.17169,0.14873,0.20242,0.13091,0.00000,2.84722,4.00000
0.15797,0.18700,0.17066,0.14962,0.20316,0.13160,0.00000,2.87220,4.00000
0.15818,0.18559,0.17037,0.15016,0.20432,0.13138,0.00000,2.89717,4.00000
0.15866,0.18486,0.17048,0.15018,0.20539,0.13043,0.00000,2.92215,4.00000
0.15875,0.18415,0.17146,0.15016,0.20626,0.12922,0.00000,2.94712,4.00000
0.15834,0.18329,0.17307,0.14991,0.20687,0.12852,0.00000,2.97210,4.00000
0.15878,0.18234,0.17482,0.14980,0.20658,0.12768,0.00000,2.99707,4.00000
0.16020,0.18137,0.17573,0.15011,0.20598,0.12660,0.00000,3.02205,4.00000
0.16114,0.18088,0.17622,0.15119,0.20404,0.12652,0.00000,3.04702,4.00000
0.16193,0.18077,0.17672,0.15240,0.20137,0.12680,0.00000,3.07200,4.00000
0.16261,0.18071,0.17644,0.15367,0.19937,0.12720,0.00000,3.09698,4.00000
0.16282,0.18081,0.17619,0.15484,0.19796,0.12738,0.00000,3.12195,4.00000
0.16241,0.18130,0.17681,0.15521,0.19680,0.12747,0.00000,3.14693,4.00000
0.16239,0.18188,0.17767,0.15458,0.19566,0.12782,0.00000,3.17190,4.00000
0.16268,0.18223,0.17849,0.15353,0.19448,0.12860,0.00000,3.19688,4.00000
0.16266,0.18265,0.17874,0.15231,0.19385,0.12978,0.00000,3.22185,4.00000
0.16227,0.18317,0.17825,0.15139,0.19377,0.13114,0.00000,3.24683,4.00000
0.16077,0.18371,0.17742,0.15083,0.19502,0.13226,0.00000,3.27180,4.00000
0.15836,0.18480,0.17670,0.15013,0.19717,0.13284,0.00000,3.29678,4.00000
0.15665,0.18636,0.17538,0.14901,0.19936,0.13324,0.00000,3.32176,4.00000
0.15541,0.18736,0.17415,0.14821,0.20159,0.13329,0.00000,3.34673,4.00000
0.15488,0.18739,0.17289,0.14779,0.20413,0.13293,0.00000,3.37171,4.00000
0.15485,0.18716,0.17147,0.14764,0.20633,0.13254,0.00000,3.39668,4.00000
0.15484,0.18697,0.17007,0.14758,0.20824,0.13231,0.00000,3.42166,4.00000
0.15524,0.18680,0.16835,0.14728,0.21005,0.13228,0.00000,3.44663,4.00000
0.15617,0.18611,0.16698,0.14708,0.21146,0.13220,0.00000,3.47161,4.00000
0.15719,0.18526,0.16621,0.14723,0.21183,0.13228,0.00000,3.49659,4.00000
0.15808,0.18504,0.16512,0.14758,0.21185,0.13234,0.00000,3.52156,4.00000
0.15905,0.18552,0.16371,0.14833,0.21117,0.13223,0.00000,3.54654,4.00000
0.16015,0.18652,0.16221,0.14990,0.20944,0.13178,0.00000,3.57151,4.00000
0.16119,0.18775,0.16056,0.15203,0.20732,0.13117,0.00000,3.59649,4.00000
0.16146,0.18931,0.15933,0.15369,0.20580,0.13042,0.00000,3.62146,4.00000
0.16067,0.19070,0.15927,0.15446,0.20516,0.12974,0.00000,3.64644,4.00000
0.15950,0.19117,0.16100,0.15435,0.20452,0.12947,0.00000,3.67141,4.00000
0.15796,0.19034,0.16392,0.15334,0.20437,0.13008,0.00000,3.69639,4.00000
0.15690,0.18869,0.16700,0.15203,0.20462,0.13076,0.00000,3.72137,4.00000
0.15680,0.18718,0.16909,0.15065,0.20490,0.13138,0.00000,3.74634,4.00000
0.15732,0.18576,0.16964,0.15001,0.20516,0.13210,0.00000,3.77132,4.00000
0.15854,0.18389,0.16900,0.15002,0.20539,0.13315,0.00000,3.79629,4.00000
0.15959,0.18348,0.16800,0.14963,0.20550,0.13380,0.00000,3.82127,4.00000
0.15994,0.18458,0.16787,0.14933,0.20457,0.13371,0.00000,3.84624,4.00000
0.15990,0.18516,0.16973,0.14992,0.20251,0.13278,0.00000,3.87122,4.00000
0.15979,0.18427,0.17336,0.15095,0.19987,0.13176,0.00000,3.89620,4.00000
0.15921,0.18254,0.17733,0.15250,0.19705,0.13138,0.00000,3.92117,4.00000
0.15813,0.18108,0.18038,0.15368,0.19484,0.13189,0.00000,3.94615,4.00000
0.15671,0.18070,0.18161,0.15377,0.19419,0.13301,0.00000,3.97112,4.00000
0.15557,0.18122,0.18145,0.15258,0.19499,0.13419,0.00000,3.99610,4.00000
0.15507,0.18238,0.18081,0.15059,0.19567,0.13548,0.00000,4.02107,4.00000
0.15470,0.18333,0.18050,0.14887,0.19626,0.13634,0.00000,4.04605,4.00000
0.15476,0.18300,0.18141,0.14790,0.19654,0.13640,0.00000,4.07102,4.00000
0.15551,0.18105,0.18302,0.14740,0.19686,0.13615,0.00000,4.09600,4.00000
0.15631,0.17941,0.18380,0.14697,0.19785,0.13566,0.00000,4.12098,4.00000
0.15699,0.17835,0.18342,0.14620,0.19991,0.13513,0.00000,4.14595,4.00000
0.15743,0.17768,0.18231,0.14515,0.20289,0.13455,0.00000,4.17093,4.00000
0.15744,0.17833,0.18021,0.14449,0.20529,0.13424,0.00000,4.19590,4.00000
0.15709,0.17969,0.17815,0.14440,0.20677,0.13390,0.00000,4.22088,4.00000
0.15632,0.18141,0.17645,0.14464,0.20790,0.13328,0.00000,4.24585,4.00000
0.15534,0.18337,0.17512,0.14543,0.20853,0.13222,0.00000,4.27083,4.00000
0.15494,0.18503,0.17447,0.14629,0.20837,0.13089,0.00000,4.29580,4.00000
0.15491,0.18554,0.17429,0.14692,0.20841,0.12993,0.00000,4.32078,4.00000
0.15528,0.18477,0.17429,0.14757,0.20882,0.12927,0.00000,4.34576,4.00000
0.15567,0.18283,0.17465,0.14870,0.20974,0.12841,0.00000,4.37073,4.00000
0.15602,0.18046,0.17618,0.15002,0.20970,0.12762,0.00000,4.39571,4.00000
0.15630,0.17906,0.17742,0.15067,0.20901,0.12754,0.00000,4.42068,4.00000
0.15627,0.17859,0.17819,0.15087,0.20798,0.12810,0.00000,4.44566,4.00000
0.15689,0.17853,0.17917,0.15089,0.20611,0.12842,0.00000,4.47063,4.00000
0.15777,0.17833,0.18072,0.15063,0.20407,0.12849,0.00000,4.49561,4.00000
0.15821,0.17725,0.18296,0.15026,0.20276,0.12855,0.00000,4.52059,4.00000
0.15805,0.17521,0.18547,0.15031,0.20234,0.12862,0.00000,4.54556,4.00000
0.15745,0.17339,0.18728,0.15085,0.20204,0.12899,0.00000,4.57054,4.00000
0.15679,0.17225,0.18900,0.15181,0.20051,0.12963,0.00000,4.59551,4.00000
0.15678,0.17107,0.19158,0.15265,0.19777,0.13015,0.00000,4.62049,4.00000
0.15743,0.16923,0.19435,0.15329,0.19531,0.13040,0.00000,4.64546,4.00000
0.15781,0.16769,0.19677,0.15353,0.19363,0.13056,0.00000,4.67044,2.00000
0.15733,0.16671,0.19884,0.15358,0.19254,0.13099,0.00000,4.69541,2.00000
0.15711,0.16637,0.19936,0.15355,0.19221,0.13140,0.00000,4.72039,2.00000
0.15735,0.16758,0.19780,0.15321,0.19219,0.13187,0.00000,4.74537,2.00000
0.15780,0.16955,0.19568,0.15270,0.19158,0.13269,0.00000,4.77034,2.00000
0.15780,0.17152,0.19354,0.15213,0.19130,0.13371,0.00000,4.79532,2.00000
0.15776,0.17247,0.19233,0.15139,0.19174,0.13433,0.00000,4.82029,2.00000
0.15760,0.17281,0.19161,0.15095,0.19273,0.13430,0.00000,4.84527,4.00000
0.15756,0.17239,0.19168,0.15045,0.19392,0.13400,0.00000,4.87024,4.00000
0.15770,0.17214,0.19097,0.14991,0.19545,0.13383,0.00000,4.89522,4.00000
0.15810,0.17211,0.18992,0.14953,0.19662,0.13372,0.00000,4.92020,4.00000
0.15908,0.17183,0.18827,0.14921,0.19770,0.13391,0.00000,4.94517,4.00000
0.16008,0.17236,0.18548,0.14881,0.19896,0.13431,0.00000,4.97015,4.00000
0.16097,0.17408,0.18192,0.14858,0.20028,0.13416,0.00000,4.99512,4.00000
0.16182,0.17555,0.17929,0.14887,0.20096,0.13352,0.00000,5.02010,4.00000
0.16229,0.17566,0.17926,0.14954,0.20061,0.13264,0.00000,5.04507,4.00000
0.16214,0.17351,0.18255,0.15061,0.19969,0.13151,0.00000,5.07005,4.00000
0.16123,0.16996,0.18768,0.15165,0.19881,0.13067,0.00000,5.09502,4.00000
0.16027,0.16693,0.19219,0.15199,0.19824,0.13038,0.00000,5.12000,4.00000
